,Win_Loss,FG,FGA,FG_Percent,3P,Differential,3PA,3P_Percent,FT,FTA,FT_Percent,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Postseason,Opp_Def_Eff,Opp_TS,Opp_TO_per_POS,Opp_3PT_Made,Over/Under
234,0,8.0,23.0,0.348,1.0,-28,6.0,0.167,4.0,4.0,1.0,1.0,1.0,2.0,9.0,1.0,0.0,0.0,0.0,21.0,16.4,-23.0,0,1.059,1.133,0.14,12.1,0
235,1,9.0,20.0,0.45,3.0,8,9.0,0.333,5.0,5.0,1.0,0.0,2.0,2.0,10.0,0.0,0.0,7.0,1.0,26.0,15.8,-9.0,0,1.083,1.142,0.126,13.1,0
236,0,16.0,30.0,0.533,8.0,-3,14.0,0.571,2.0,3.0,0.667,1.0,5.0,6.0,6.0,1.0,2.0,4.0,2.0,42.0,31.0,6.0,0,1.027,1.102,0.121,11.3,1
237,1,11.0,23.0,0.478,6.0,6,15.0,0.4,5.0,6.0,0.833,1.0,3.0,4.0,8.0,1.0,1.0,3.0,2.0,33.0,26.0,11.0,0,1.042,1.118,0.137,12.9,1
238,0,6.0,16.0,0.375,0.0,-21,4.0,0.0,8.0,9.0,0.889,1.0,4.0,5.0,6.0,0.0,0.0,3.0,1.0,20.0,13.5,-16.0,0,1.093,1.131,0.134,12.2,0
239,0,7.0,19.0,0.368,2.0,-7,7.0,0.286,4.0,4.0,1.0,2.0,3.0,5.0,10.0,1.0,0.0,4.0,3.0,20.0,14.6,-7.0,0,1.055,1.114,0.139,12.9,0
240,0,,,,,-13,,,,,,,,,,,,,,,,,0,1.093,1.131,0.134,12.2,0
241,1,,,,,3,,,,,,,,,,,,,,,,,0,1.063,1.139,0.138,10.7,0
242,0,,,,,-12,,,,,,,,,,,,,,,,,0,1.042,1.084,0.143,11.7,0
243,0,,,,,-6,,,,,,,,,,,,,,,,,0,1.032,1.093,0.143,11.5,0
244,0,,,,,-12,,,,,,,,,,,,,,,,,0,1.102,1.154,0.139,11.9,0
245,1,,,,,23,,,,,,,,,,,,,,,,,0,1.052,1.128,0.144,12.5,0
246,1,6.0,12.0,0.5,4.0,21,7.0,0.571,6.0,6.0,1.0,2.0,2.0,4.0,5.0,2.0,1.0,3.0,1.0,22.0,20.8,22.0,0,1.105,1.181,0.152,12.4,0
247,0,6.0,16.0,0.375,3.0,-10,7.0,0.429,9.0,10.0,0.9,0.0,3.0,3.0,6.0,0.0,0.0,4.0,2.0,24.0,15.1,-6.0,0,1.114,1.145,0.149,11.6,0
248,0,4.0,15.0,0.267,2.0,-12,10.0,0.2,2.0,4.0,0.5,0.0,3.0,3.0,6.0,2.0,0.0,1.0,1.0,12.0,8.0,-19.0,0,1.082,1.155,0.148,12.4,0
249,1,8.0,17.0,0.471,5.0,16,10.0,0.5,4.0,4.0,1.0,0.0,5.0,5.0,7.0,3.0,2.0,2.0,3.0,25.0,23.9,23.0,0,1.114,1.145,0.149,11.6,0
250,1,10.0,22.0,0.455,2.0,5,9.0,0.222,7.0,9.0,0.778,0.0,5.0,5.0,9.0,0.0,0.0,3.0,4.0,29.0,20.0,2.0,0,1.055,1.114,0.139,12.9,1
251,0,8.0,20.0,0.4,5.0,-4,14.0,0.357,9.0,9.0,1.0,0.0,2.0,2.0,16.0,0.0,1.0,5.0,3.0,30.0,25.5,3.0,0,1.042,1.084,0.143,11.7,1
252,1,6.0,19.0,0.316,3.0,8,7.0,0.429,6.0,7.0,0.857,0.0,9.0,9.0,8.0,2.0,0.0,3.0,1.0,21.0,16.6,3.0,0,1.066,1.119,0.152,12.2,0
253,1,13.0,21.0,0.619,11.0,10,18.0,0.611,8.0,10.0,0.8,0.0,4.0,4.0,12.0,3.0,0.0,2.0,2.0,45.0,44.5,6.0,0,1.059,1.133,0.14,12.1,1
254,0,10.0,23.0,0.435,2.0,-5,10.0,0.2,0.0,2.0,0.0,1.0,2.0,3.0,5.0,1.0,0.0,3.0,2.0,22.0,11.1,-9.0,0,1.086,1.088,0.134,12.3,0
255,1,16.0,28.0,0.571,4.0,3,12.0,0.333,15.0,16.0,0.938,0.0,3.0,3.0,7.0,2.0,0.0,6.0,1.0,51.0,38.8,6.0,0,1.061,1.112,0.133,10.5,1
256,1,17.0,32.0,0.531,9.0,3,17.0,0.529,18.0,18.0,1.0,2.0,3.0,5.0,8.0,1.0,0.0,3.0,2.0,61.0,50.5,8.0,0,1.072,1.113,0.115,12.4,1
257,1,13.0,22.0,0.591,8.0,1,14.0,0.571,8.0,9.0,0.889,0.0,3.0,3.0,12.0,2.0,0.0,1.0,1.0,42.0,41.3,-1.0,0,1.065,1.092,0.12,12.5,1
258,1,9.0,21.0,0.429,6.0,7,13.0,0.462,10.0,10.0,1.0,1.0,4.0,5.0,5.0,0.0,1.0,3.0,1.0,34.0,25.6,19.0,0,1.063,1.106,0.151,11.7,1
259,0,6.0,14.0,0.429,1.0,-23,7.0,0.143,5.0,5.0,1.0,0.0,3.0,3.0,1.0,1.0,0.0,4.0,1.0,18.0,8.8,-29.0,0,1.063,1.106,0.151,11.7,0
260,0,8.0,20.0,0.4,5.0,-8,11.0,0.455,13.0,14.0,0.929,0.0,5.0,5.0,7.0,0.0,0.0,4.0,0.0,34.0,25.2,-8.0,0,1.063,1.106,0.151,11.7,1
261,0,3.0,9.0,0.333,1.0,-20,2.0,0.5,4.0,4.0,1.0,0.0,1.0,1.0,4.0,1.0,0.0,3.0,2.0,11.0,6.2,-25.0,0,1.063,1.106,0.151,11.7,0
262,0,,,,,-9,,,,,,,,,,,,,,,,,0,1.063,1.106,0.151,11.7,0
263,0,4.0,12.0,0.333,1.0,-20,7.0,0.143,0.0,1.0,0.0,0.0,4.0,4.0,7.0,1.0,1.0,1.0,1.0,9.0,8.2,-21.0,0,1.068,1.083,0.112,11.2,0
264,1,11.0,28.0,0.393,5.0,2,13.0,0.385,5.0,5.0,1.0,1.0,4.0,5.0,9.0,1.0,0.0,5.0,1.0,32.0,20.6,9.0,0,1.116,1.169,0.14,13.4,1
265,1,10.0,16.0,0.625,5.0,8,10.0,0.5,6.0,6.0,1.0,0.0,4.0,4.0,5.0,0.0,1.0,5.0,1.0,31.0,23.8,-10.0,0,1.042,1.112,0.147,11.4,1
266,0,3.0,14.0,0.214,0.0,-23,8.0,0.0,14.0,15.0,0.933,1.0,4.0,5.0,4.0,1.0,0.0,4.0,1.0,20.0,12.3,-20.0,0,1.089,1.124,0.127,12.1,0
267,1,11.0,21.0,0.524,6.0,25,10.0,0.6,6.0,6.0,1.0,0.0,4.0,4.0,8.0,1.0,0.0,1.0,3.0,34.0,29.3,33.0,0,1.068,1.112,0.142,12.4,1
268,0,10.0,24.0,0.417,6.0,-15,15.0,0.4,6.0,7.0,0.857,0.0,4.0,4.0,4.0,0.0,0.0,5.0,3.0,32.0,16.6,-10.0,0,1.068,1.112,0.142,12.4,1
269,0,6.0,17.0,0.353,3.0,-3,11.0,0.273,9.0,11.0,0.818,0.0,5.0,5.0,9.0,0.0,0.0,0.0,1.0,24.0,21.1,5.0,0,1.09,1.136,0.124,11.5,0
270,1,13.0,21.0,0.619,7.0,18,12.0,0.583,6.0,7.0,0.857,0.0,7.0,7.0,7.0,3.0,0.0,1.0,0.0,39.0,38.1,12.0,0,1.113,1.172,0.145,13.1,1
271,1,5.0,16.0,0.313,1.0,26,7.0,0.143,6.0,6.0,1.0,0.0,4.0,4.0,6.0,1.0,0.0,0.0,0.0,17.0,14.2,26.0,0,1.138,1.172,0.133,12.4,0
272,1,8.0,16.0,0.5,3.0,1,6.0,0.5,4.0,4.0,1.0,0.0,7.0,7.0,5.0,0.0,1.0,8.0,0.0,23.0,13.3,9.0,0,1.089,1.158,0.157,13.9,0
273,1,11.0,23.0,0.478,6.0,6,15.0,0.4,12.0,12.0,1.0,0.0,1.0,1.0,13.0,3.0,0.0,0.0,2.0,40.0,39.9,9.0,0,1.138,1.172,0.133,12.4,1
274,0,7.0,16.0,0.438,2.0,-24,5.0,0.4,6.0,6.0,1.0,2.0,4.0,6.0,4.0,1.0,0.0,5.0,2.0,22.0,14.2,-6.0,0,1.091,1.128,0.14,11.5,0
275,1,10.0,23.0,0.435,4.0,6,12.0,0.333,12.0,12.0,1.0,0.0,7.0,7.0,7.0,1.0,0.0,3.0,3.0,36.0,27.7,18.0,0,1.094,1.118,0.123,11.7,1
276,0,10.0,23.0,0.435,3.0,-21,10.0,0.3,12.0,12.0,1.0,0.0,3.0,3.0,6.0,1.0,1.0,5.0,2.0,35.0,23.9,-3.0,0,1.095,1.13,0.128,12.2,1
277,1,11.0,17.0,0.647,6.0,3,10.0,0.6,11.0,11.0,1.0,1.0,4.0,5.0,8.0,1.0,0.0,3.0,2.0,39.0,36.2,2.0,0,1.051,1.084,0.127,12.1,1
278,0,8.0,22.0,0.364,3.0,-3,12.0,0.25,7.0,8.0,0.875,2.0,4.0,6.0,10.0,0.0,0.0,3.0,3.0,26.0,18.8,0.0,0,1.11,1.144,0.126,13.6,0
279,0,11.0,23.0,0.478,5.0,-3,11.0,0.455,3.0,4.0,0.75,0.0,4.0,4.0,9.0,0.0,0.0,4.0,0.0,30.0,21.4,1.0,0,1.116,1.169,0.14,13.4,1
