,Win_Loss,FG,FGA,FG_Percent,3P,Differential,3PA,3P_Percent,FT,FTA,FT_Percent,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,Plus_Minus,Postseason,Opp_Def_Eff,Opp_TS,Opp_TO_per_POS,Opp_3PT_Made,Over/Under
239,1,4.0,14.0,0.286,1.0,4,9.0,0.111,4.0,4.0,1.0,2.0,9.0,11.0,3.0,2.0,4.0,1.0,3.0,13.0,13.6,7.0,0,1.091,1.113,0.115,12.4,1
240,1,5.0,12.0,0.417,3.0,4,9.0,0.333,2.0,2.0,1.0,1.0,6.0,7.0,0.0,4.0,1.0,0.0,4.0,15.0,14.2,2.0,0,1.007,1.054,0.132,14.1,1
241,0,2.0,11.0,0.182,2.0,-8,11.0,0.182,0.0,0.0,,0.0,8.0,8.0,1.0,2.0,0.0,0.0,2.0,6.0,3.4,-10.0,0,1.112,1.126,0.125,13.5,0
242,1,3.0,7.0,0.429,2.0,16,4.0,0.5,0.0,0.0,,0.0,6.0,6.0,2.0,3.0,2.0,2.0,5.0,8.0,7.9,29.0,0,1.036,1.106,0.151,11.7,0
243,1,5.0,10.0,0.5,1.0,17,5.0,0.2,1.0,3.0,0.333,4.0,9.0,13.0,2.0,3.0,0.0,1.0,3.0,12.0,13.9,23.0,0,1.088,1.155,0.148,12.4,1
244,0,2.0,9.0,0.222,0.0,-18,6.0,0.0,2.0,3.0,0.667,2.0,7.0,9.0,3.0,4.0,2.0,3.0,3.0,6.0,6.9,-7.0,0,1.103,1.142,0.126,13.1,0
245,0,3.0,8.0,0.375,3.0,-4,8.0,0.375,2.0,2.0,1.0,0.0,7.0,7.0,2.0,0.0,2.0,2.0,3.0,11.0,8.3,2.0,0,1.052,1.093,0.143,11.5,0
246,0,1.0,4.0,0.25,1.0,-38,4.0,0.25,2.0,2.0,1.0,0.0,5.0,5.0,1.0,2.0,2.0,1.0,1.0,5.0,6.8,-3.0,0,1.06,1.112,0.133,10.5,0
247,1,1.0,6.0,0.167,1.0,15,5.0,0.2,0.0,0.0,,0.0,5.0,5.0,3.0,1.0,1.0,1.0,5.0,3.0,1.5,-8.0,1,1.056,1.098,0.137,11.9,0
248,1,4.0,7.0,0.571,2.0,13,5.0,0.4,0.0,0.0,,1.0,1.0,2.0,1.0,3.0,1.0,3.0,3.0,10.0,7.9,3.0,1,1.056,1.098,0.137,11.9,0
